Commodity Code,Commodity description
51373,Methacrylic acid and its salts and esters
51379,"Other monocarboxylic acids, and their derivatives"
5138,Polycarboxylic acids and their derivatives
51381,Maleic anhydride
51382,Phthalic anhydride
51383,Dioctyl orthophthalates
51384,Esters of terephthalic acid
51389,"Other polyacarboxylic acids, and their derivatives"
5139,"Oxygen-function acids, and their derivatives"
514,Nitrogen-function compounds
5145,Amine-function compounds
5146,Oxygen-function amino-compounds
5147,Amide-function compounds; excluding urea
5148,Other nitrogen-function compounds
51481,"Quaternary ammonium salts and hydroxides; lecithin, etc"
51482,Carboxyimide and imide-function compounds
51483,Acrylonitrile
51484,Other nitrile-function compounds
51485,"Diazo-, azo-, azoxy-compounds"
51486,Organic derivatives of hydrazine or of hydroxylamine
51489,Compounds with other nitrogen functions
515,Organo-inorganic and heterocyclic compounds
5154,Organo-sulphur compounds
5155,Other organo-inorganic compounds
51551,Organo-mercury compounds
51559,"Organo-inorganic compounds, nes"
5156,Heterocyclic compound; nucleic acids
51561,Lactams
51569,Other heterocyclic compounds; nucleic acids
5157,"Sulphonamides, sultones and sultams"
51571,Sulphonamides
51572,Sultones and sultams
516,Other organic chemicals
5161,"Ethers, epoxides, acetals"
51611,"Ethers, ether-alcohol, etc, and their derivatives"
51612,"Acetals, hemiacetals, etc, and their derivatives"
51613,Ethylene oxide (oxirane)
51614,Propylene oxide
51619,Other epoxides etc
5162,"Aldehyde, ketone and quinone-function compounds"
51621,Oxygen-function aldehyde
51622,Oxygen-function aldehyde derivatives
51623,Acetone
51624,Ethyl methyl ketone
51629,"Other ketones etc, and their derivatives"
5163,"Inorganic esters, their salts and derivatives"
51631,"Phosphoric esters, their salts and derivatives"
51639,"Other inorganic esters, their salts and derivatives"
5169,"Organic chemicals, nes"
51691,Enzymes
51692,"Sugars, chemically pure etc, nes"
51699,Other organic compounds
52,Inorganic chemicals
522,"Inorganic chemical elements, oxides and halogen salts"
5221,Chemical elements
52211,"Oxygen, nitrogen, hydrogen and rare gases"
52212,"Selenium, tellurium, phosphorus, arsenic, silicon and boron"
52213,Chlorine
52214,"Fluorine, bromine and iodine"
52215,"Sulphur, purified"
52216,Mercury
52217,Alkali and alkaline-earth metals; rare earth metals
52218,"Carbon (including carbon black), nes"
5222,Inorganic acids and oxygen compounds of non-metals
52221,Hydrochloric acid and chlorosulphuric acid
52222,Sulphuric acid; oleum
52223,Nitric acid; sulphonitric acids
52224,Phosphorus pentoxide and phosphoric acids
52225,Boric oxide and boric acid
52229,Other inorganic acids and oxygen compounds of non-metals
5223,Halogen and sulphur compounds of non-metals
52231,Halogen compounds of non-metals
52232,Sulphides of non-metals; phophorus trisulphide
5224,"Metallic oxides of zinc, iron, lead, chromium etc"
52241,Zinc oxide and zinc peroxide
52242,Chromium oxide and hydroxides
52243,Manganese oxides
52244,Iron oxides and hydroxides
52245,Cobalt oxides and hydroxides
52246,Titanium oxides
52247,Lead oxides
5225,"Inorganic bases and metallic oxides, hydroxides and peroxides"
52251,"Ammonia, anhydrous, or in aqueous solution"
52252,"Sodium hydroxide (caustic soda), solid"
52253,Sodium hydroxide in aqueous solution
52254,Potassium hydroxide; peroxides of sodium or potassium
52255,"Oxides, hydroxides and peroxides of Mg, Sr and Ba"
52256,Aluminium hydroxide
52257,Artificial corundum
52259,"Inorganic bases and metallic oxides, nes"
523,Other inorganic chemicals; compounds of precious metals
5231,Metallic salts and peroxysalts of inorganic acids
52311,Flourides and other complex fluorine salts
52312,"Chlorides, bromides, iodides, etc"
52313,Chlorites and hypochlorites
52314,"Chlorates, bromates, iodates, etc"
52315,Sulphides; polysulphides
52316,Dithionite; sulphoxylates
52317,Sulphites and thiosulphates
52318,"Sodium sulphate, sodium pyrosulphate, etc"
52319,Other sulphates and persulphates
5232,Metallic salts and peroxysalts of inorganic acids
52321,Nitrites and nitrates
52322,"Phosphites, hydrophosphites and phosphates"
52323,Neutral sodium carbonate
52324,"Carbonate nes, percabonate"
52325,Cyanides and complex cyanide
52326,"Fulminates, cyanates and thiocynates"
52327,Silicates
52328,Borates and perborates
52329,"Salts and peroxysalts of inorganic acids, nes"
5233,Salts of metallic acids; compounds of precious metals
52331,Salts of metallic acids
52332,"Colloidal, amalgams, salts etc, of precious metals,"
5239,"Inorganic chemical products, nes"
52391,Hydrogen peroxide
52392,Phosphides
52393,Calcium carbide
52394,Carbides (other than calcium carbide)
52395,"Hydrides, nitrides, etc"
52399,"Other inorganic compounds, nes; amalgams; liquid air etc"
524,Radioactive and associated material
5241,"Radio-active chemical elements, isotopes etc"
5249,Other radio-active and associated materials
52491,Isotopes and their compounds (other than those in heading 524.1)
52492,"Compounds of thorium, uranium, yttrium, scandium etc"
53,"Dyeing, tanning and colouring materials"
531,"Synthetic dye, natural indigo, lakes"
5311,"Synthetic organic dyestuffs, etc, natural indigo and colour lakes"
5312,"Synthetic organic luminophores, indigo, lakes"
53121,Synthetic organic luminophores etc; natural indigo
53122,Colour lakes
532,"Dyeing and tanning extracts, and synthetic tanning materials"
5322,"Dyeing, tanning extracts, tannins and their derivatives"
53221,Tanning extracts of vegetable origin; tannins
53222,Dyeing extracts of vegetable or animal origin
5323,Synthetic tanning substances; tanning preparations
533,"Pigments, paints, varnishes and related materials"
5331,Other colouring matter; inorganic products use as luminophores
5332,Printing inks
5334,Varnishes and lacquers; distempers etc
53341,Water-thinned paints
53342,"Other paints, varnishes etc, nes"
53343,Pigments in paint or anamel media
53344,"Distempers, dyes etc, in forms or packings for retail"
5335,"Glazes, driers, putty etc"
53351,"Prepared pigments, glazes etc"
53352,Artists colours
53353,Prepared driers
53354,"Putty, other fillings etc"
54,Medicinal and pharmaceutical products
541,Medicinal and pharmaceutical products
5411,Provitamins and vitamins
5413,"Antibiotics, not put up as medicaments"
54131,Penicillins and their derivatives
54132,Streptomycins and their derivatives
54133,Tetracyclines and their derivatives
54139,"Other antibiotics, not put up as medicaments"
5414,"Vegetable alkaloids and derivatives, not put up as medicaments"
5415,"Hormones, natural, or reproduce by synthesis, in bulk"
54151,Insulin
54152,Pituitary and similar hormones
54153,Adrenal cortical hormones
54159,"Other hormones, derivatives and other steroids etc"
5416,"Glycosides, glands, antisera, vaccines and similar products"
54161,Glycosides and derivatives
54162,Organo-therapeutic glands etc and extracts
54164,Antisera and microbial vaccines
54165,"Toxins, microbial cultures and similar products"
5417,Medicaments (including veterinary medicaments)
54171,-- containing antibiotics
54172,-- containing hormones
54173,-- containing alkaloids
54179,-- containing other substances
5419,"Pharmaceutical goods, other than medicaments"
54191,"Wadding, gauze, bandages prepared etc"
54199,Other pharmaceutical goods
55,Oils and perfume materials; toilet and cleansing preparations
551,"Essential oils, perfume and flavour materials"
5513,"Essential oil, resinoid, etc"
5514,"Mixtures of odoriferous substances, used in perfumery, food etc"
553,"Perfumery, cosmetics, toilet preparations, etc"
5530,"Perfumery, cosmetics, toilet preparations, etc"
554,"Soap, cleansing and polishing preparations"
5541,"Soaps, organic products and preparations for use as soap"
5542,"Organic surface-active agents, nes"
5543,"Polishes and creams, for furniture, floors, footwear, metals etc"
56,"Fertilizers, manufactured"
562,"Fertilizers, manufactured"
5621,"Mineral or chemical fertilizers, nitrogenous"
56211,Ammonium nitrate
56212,Ammonium sulphonitrate
56213,Ammonium sulphate
56214,Calcium nitrate containing 16% or less by weight of nitrogen
56215,Calcium cyanamide containing 25% or less by weight of nitrogen
56216,Urea
56219,"Mineral or chemical fertilizers; nitrogenous, nes"
5622,"Mineral or chemical fertilizers, phosphatic"
56221,Basic slag (Thomas slag)
56222,Superphosphates
56229,"Mineral or chemical fertilize, phosphatic, nes"
5623,"Mineral or chemical fertilizer, potassic"
56231,Potassium chloride
56232,Potassium sulphate containing 52% or less by weight of K2O
56239,"Mineral or chemical fertilizer, potassic, nes"
5629,"Fertilizers, nes"
56291,"Nitrogen-phosphorus-potassium fertilizer, nes"
56292,"Nitrogen-phosphorus fertilizer, nes"
56293,"Nitrogen-potassium fertilizer, nes"
56299,"Other fertilizers, nes"
57,Explosives and pyrotechnic products
572,Explosives and pyrotechnic products
5721,Propellent powders and other prepared explosives
57211,Propellent powders
57212,Prepared explosives (other than propellent powders)
5722,"Fuses, caps, igniters, detonators"
5723,Pyrotechnic articles
58,"Artificial resins and plastic materials, and cellulose esters etc"
582,"Condensation, polycondensation and polyaddition products"
5821,Phenoplasts
58211,-- in primary forms
58212,"-- in the form of plates, film, sheets, foil or strip"
58219,-- in other forms (including waste and scrap)
5822,Aminoplasts
58221,-- in primary forms
58222,"-- in the form of plates, film, sheets, foil or strip"
58229,-- in other forms (including waste and scrap)
5823,Alkyds and other polyesters
58231,-- in primary forms
58232,"-- in the forms of plates, film, sheets, foil or strip"
58239,-- in other forms (including waste and scrap)
5824,Polyamides
58241,-- in primary forms
58242,"-- in the forms of plates, film, sheets, foil or strip"
58249,-- in other forms (including waste and scrap)
5825,Polyurethanes
58251,-- in primary forms
58259,-- in other forms (including waste and scrap)
5826,Epoxide resins
58261,-- in primary forms
58269,-- in other forms (including waste and scrap)
5827,Silicones
5828,"Ion exchangers of the condensation, polycondensation etc"
5829,"Other condensation, polycodensation or polyaddition products"
583,Polymerization and copolymerization products
5831,Polyethylene
58311,-- in primary forms
58312,"-- in the form of monofil, tubes, rods, sticks or profile shapes"
58313,"-- in the form of plates, sheets, film, foil or strip"
58319,-- in the form of waste and scrap
5832,Polypropylene
58321,-- in primary forms
58322,"-- in the form of plates, sheets, film, foil or strip"
58329,-- in other forms (including waste and scrap)
5833,Polystyrene and its copolymers
58331,-- in primary forms
58332,"-- in the form of monofil, tubes, rods, sticks or profile shapes"
58333,"-- in the form of plates, sheets, film, foil or strip"
58339,-- in the form of waste and scrap
5834,Polyvinyl chloride
58341,-- in primary forms
58342,"-- in the form of monofil, tubes, rods, sticks or profile shapes"
58343,"-- in the form of plates, sheets, strip, film or foil"
58349,-- in the form of waste and scrap
5835,Copolymers of vinyl chloride and vinyl acetate
58351,-- in primary forms
58352,"-- in the form of monofil, tubes, rods, sticks or profile shapes"
58353,"-- in the form of plates, sheets, strip, film or foil"
58359,-- in the form of waste and scrap
5836,Acrylic and methaacrylic polymers; acrylo-methacrylic copolymers
58361,-- in primary forms
58362,"-- in the form of plates, sheets, strip, film or foil"
58369,-- in other forms (including waste and scrap)
5837,Polyvinyl acetate
5838,Ion exchangers of the polymerization or copolymerization type
5839,Other polymerization and copolymarization products
584,Regenerated cellulose; derivatives of cellulose; vulcanized fibre
5841,Regenerated cellulose
5842,Cellulose nitrates
58421,-- non-plasticized
58422,-- plasticized
5843,Cellulose acetates
58431,-- non-plasticized
58432,-- plasticized
5849,Other chemical derivatives of cellulose; vulcanized fibre
58491,"Other chemical derivatives of cellulose, non-plasticized"
58492,"Other chemical derivatives of cellulose, plasticized"
58493,Vulcanized fibre
585,Other artificial resins and plastic materials
5851,Modified natural resins etc; derivatives of natural rubber
5852,"Other artificial plastic materials, nes"
58521,Hardened proteins
58522,Alginic acid its salts and esters
58529,"Other high polymers etc, nes; linoxyn"
59,"Chemical materials and products, nes"
591,"Pesticides, disinfectants"
5911,"Insecticides, for sale by retail or as preparations"
5912,"Fungicides, for sale by retail or as preparation"
5913,"Herbicides, for sale by retail or as preparation"
5914,"Disinfectants, etc, for sale by retail or as preparation"
59141,"Disinfectants, for sale by retail or as preparation"
59149,"Anti-sprouting products, rat poisons etc for sale by retail"
592,"Starches, insulin and wheat gluten; albuminoidal substances; glues"
5921,"Starches, insulin and wheat gluten"
59211,"Starches, inulin"
59212,"Wheat gluten, whether or not dried"
5922,Albuminoid substances; glues
59221,"Casein, caseinates and other casein derivatives; casein glues"
59222,"Albumins, albuminates and other albumin derivatives"
59223,Gelatin and derivatives; glues derived from bones etc; isinglass
59224,Protein and derivatives; hide powder
59225,Dextrin; starch glues; soluble or roasted starches
59229,"Prepared glues, nes; products use as glues, for sale by retail"
598,"Miscellaneous chemical products, nes"
5981,Woods and resin-based chemical products
59811,Tall oil
59812,Concentrated sulphite lye
59813,Spirits of turpentine; crude dipentene; sulphite turpentene etc
59814,"Rosin and resin acids, and derivatives; rosin spirits and oils"
59819,"Wood tar and oils; vegetable pitch; acetone oil, etc"
5982,"Anti-knock preparation, anti-corrosive; viscosity improvers; etc"
5983,"Organic chemical products, nes"
59831,"Artificial waxes; prepared waxes, not emulsified or with solvents"
59832,Artificial graphite; colloidal graphite
59833,Prepared rubber accelerators
5989,"Chemical products and preparations, nes"
59891,"Prepared glazings, dressings and mordants"
59892,Activated natural mineral products; activated carbon; animal black
59893,Prepared culture media for development of micro-organisms
59894,Preparations and charges for fire extinguishers
59895,"Modelling pastes; ""dental wax"" or ""dental impression compounds"""
59896,"Pickling preparations for metal surfaces; fluxes, etc"
59897,"Composite solvents and thinners for varnishes, etc"
59898,Compound catalysts
59899,"Other chemical products and preparations, nes"
6,Manufactured goods classified chiefly by materials
61,"Leather, leather manufactures, nes, and dressed furskins"
611,Leather
6112,"Composition leather, in slabs, sheets or rolls"
6113,Calf leather
6114,Leather of other bovine cattle and equine leather
6115,Sheep and lamb skin leather
6116,Leather of other hides or skins
61161,Goat and kid skin leather
61169,"Leather, nes"
6118,"Leather, specially dressed or finished, nes"
61181,Chamois-dressed leather
61182,Parchment-dressed leather pre-1978
61183,Patent leather and imitation patent leather; metallized leather
612,"Manufactures of leather or of composition leather, nes; etc"
6121,"Articles of leather use in machinery or mechanical appliances, etc"
6122,"Saddlery and harness, of any material, for any kind of animal"
6123,Parts of footwear of any material except metal and asbestos
6129,Other articles of leather or of composition leather
613,"Furskins, tanned or dressed; pieces of furskin, tanned or dressed"
6130,"Furskins, tanned or dressed; pieces of furskin, tanned or dressed"
62,"Rubber manufactures, nes"
621,Materials of rubber
6210,Materials of rubber
62101,"Plates, sheets and strip, nes, of unvulcanized rubber"
62102,"Unvulcanized rubber, in other forms; articles etc"
62103,Vulcanized rubber thread and cord
62104,"Plates, sheets, strip, rods, etc, of unhardened vulcanized rubber"
62105,"Piping and tubing, of unhardened vulcanized rubber"
62106,"Hardened rubber, in bulk, plates etc; scrap of hardened rubber"
625,"Rubber tires, tire cases, inner and flaps, for wheels of all kinds"
6251,"Tires, pneumatic, new, for motor cars"
6252,"Tires, pneumatic, new, for buses and lorries"
6253,"Tires, pneumatic, new, for aircraft"
6254,"Tires, pneumatic, new, for motorcycles and bicycles"
6259,"Other tires, tire cases, tire flaps and inner tubes, etc"
62591,Inner tubes
62599,"Tires, nes, tire cases, interchangeable tire treads and tire flaps"
628,"Articles of rubber, nes"
6281,"Hygienic, pharmaceutical articles of unhardened vulcanized rubber"
6282,"Transmission, conveyor or elevator belts, of vulcanized rubber"
6289,"Other articles of rubber, nes"
62898,"Articles of unhardened rubber, nes"
62899,"Articles of hardened rubber, nes"
63,"Cork and wood, cork manufactures"
633,Cork manufactures
6330,Cork manufactures
63301,Articles of natural cork
63302,Agglomerated cork and articles of agglomerated cork
634,"Veneers, plywood, ""improved"" wood and other wood, worked, nes"
6341,"Wood sawn lengthwise, veneer sheets etc, up to 5 mm in thickness"
6342,Plywood consisting solely of sheets of wood
6343,Improved wood and reconstituted wood
63431,"Improved wood, in sheets, blocks or the like"
63432,"Reconstituted wood, in sheets, blocks or the like"
6344,"Wood-based panels, nes"
63441,"Blockboard, laminboard, and similar laminated wood products"
63442,Inlaid wood and wood marquetry
63443,Cellular wood panels
6349,"Wood, simply shaped, nes"
63491,Hoopwood; split poles; wooden sticks; chipwood; etc
63492,Wooden beadings and mouldings
63493,Wood wool and wood flour
635,"Wood manufactures, nes"
6351,"Wood packing cases, boxes, cases, crates, etc, complete"
6352,"Casks, barrels; other coopers products and parts, including staves"
6353,Builders` carpentry and joinery (including prefabricated)
6354,Manufactures of wood for domestic or decorative use
63541,"Wooden picture frames, mirror frames and the like"
63542,Household utensils of wood
63549,"Lamps, caskets, trays, and other articles of woods, domestic"
6359,"Manufactured articles of wood, nes"
63591,"Wooden tools, tool bodies, handles, broom etc; boot and shoe lasts"
63592,"Spools, cops, bobbins, sewing thread reels, etc, of turned wood"
63599,"Other articles of wood, nes"
64,"Paper, paperboard, and articles of pulp, of paper or of paperboard"
641,Paper and paperboard
6411,Newsprint
6412,"Printing paper and writing paper, in rolls or sheets"
64121,-- uncoated
64122,"-- coated, impregnated, surface-coloured, decorated or printed"
6413,"Kraft paper and paperboard, in rolls or sheets"
64131,"Kraft liner, in rolls or sheets"
64132,"Sack Kraft paper, in rolls or sheets"
64139,"Kraft paper and paperboard, in rolls or sheets, nes"
6415,"Paper and paperboard, in rolls or sheets, nes"
64151,"Semi-chemical fluting paper, in rolls or sheets"
64152,"Sulphite wrapping paper, in roll or sheets"
64153,"Greaseproof paper and paperboard, etc, in rolls or sheets"
64159,"Other paper and paperboard, in rolls or sheets, nes"
6416,Fibre building board of wood or other vegetable material
64161,-- compressed (hardboard)
64162,"-- non-compressed (insulating board, etc)"
6417,"Paper and paperboard, creped, crinkled, etc, in rolls or sheets"
64171,"Kraft paper, creped or crinkled, in rolls or sheet"
64172,"Paper, creped or crinkled, for household use, in rolls or sheets"
64173,"Other creped or crinkled paper, in rolls or sheets"
64174,"Paper and paperboard, corrugated, in rolls or sheets"
6418,"Paper and paperboard, coated, impregnated, etc, in rolls or sheets"
64181,"Paper, etc, coated with artificial resins, in rolls or sheets"
64182,"Paper and paperboard, tarred, asphalted, etc, in rolls or sheets"
64189,"Paper and paperboard, coated, etc, nes, in rolls or sheets"
6419,"Converted paper and paperboard, nes"
64192,"Composite paper and paperboard not coated, etc, in rolls or sheets"
64196,"Filter blocks, slabs and plates, of paper pulp"
64197,Wallpaper and lincrusta; window transparencies of paper
642,"Paper and paperboard, precut, and articles of paper or paperboard"
6421,"Packing containers, box files, etc, of paper, used in offices"
6422,Correspondence stationary
6423,"Registers, exercise books, file and book covers, etc, of paper"
6424,"Paper and paperboard cut to size or shape, nes"
64241,"Cigarette paper, precut, in booklets or tubes"
64242,Copying papers and transfer papers cut to size
64243,"Toilet paper cut to size, in rolls or in sheets"
64244,Gummed or adhesive paper in strip or rolls
64249,"Other paper and paperboard, cut to size or shape, nes"
6428,"Articles of paper pulp, paper, paperboard or cellulose wadding, nes"
64281,"Bobbins, spools, etc of paper pulp, paper or paperboard"
64282,Cards for punched-card machines
64283,"Trays, dishes, cups, etc, of paper pulp, paper or paperboard"
64284,"Paper tissues, towels, bed sheets, etc; paper under garments"
64285,"Sanitary towels and tampons; diapers, of paper or cellulose wadding"
64289,"Other articles of paper pulp, paper, cellulose wadding, etc, nes"
65,"Textile yarn, fabrics, made-up articles, nes, and related products"
651,Textile yarn
6511,Silk yarn and spun from noil or waste; silkworm gut
65111,Silk yarn (other than waste) not put up for retail sale
65116,"Yarn spun from noil or other waste of silk, not for retail sale"
65117,"Silk yarn, spun from silk waste, for retail; silkworm gut"
6512,Yarn of wool or animal hair (including wool tops)
65121,Wool tops
65122,"Carded sheep's or lambs' wool (woolen yarn), not for retail sale"
65123,"Combed sheep's or lambs' wool (worsted yarn), not for retail sale"
65124,"Fine hair yarn (carded or combed), not for retail sale"
65125,"Coarse hair yarn, not for retail sale"
65126,"Yarn of sheep's or lamb's wool or of fine animal hair, for retail"
65127,"Yarn of carded sheep's or lamb's wool, blended, not for retail"
65128,"Yarn of combed sheep's or lamb's wool, blended, not for retail"
65129,Wool etc blend yarn for retail
6513,Cotton yarn
65131,"-- measuring, per single yarn, 14 km/kg or less, not for retail"
65132,"-- measuring, per single yarn, from 14 to 40 km/kg, not for retail"
65133,"-- measuring, per single yarn, from 40 but less 80km/kg, non retail"
65134,"-- measuring, per single yarn, 80 km/kg or more, not for retail"
65135,-- put up for retail sale
6514,"Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc"
65141,"-- textured, of continuous polyamide"
65142,"-- nontextured of continuous polyamide, from non to 50 turns per mt"
65143,-- other non-textured yarns of continuous polyamide
65144,"-- textured, of continuous polyester"
65145,"-- nontextured of continuous polyester, from non to 50 turns per mt"
65146,-- other non-textured yarns of continuous polyester
65147,-- of other continuous synthetic fibres
65148,-- of discontinuous synthetic fibres
65149,"-- monofil, strip and imitation catgut"
6515,"Yarn containing 85% or more of synthetic fibres, put up for retail"
65151,-- of continuous fibres
65152,-- of discontinuous fibres
6516,Yarn containing less than 85% of discontinuous synthetic fibres
65166,"-- mixed mainly or solely with cotton, not for retail"
65167,"-- mixed mainly with wool, fine animal hair, etc, not for retail"
65168,"-- mixed with other than wool, cotton, etc, not put for retail"
65169,-- put up for retail sale
6517,"Yarn of regenerated fibres, not for retail, monofil, strip, etc"
65171,Yarn of continuous viscose rayon
65172,Yarn of continuous acetate fibres
65173,Yarn of other continuous regenerated textile fibres
65174,Yarn with 85% or more of discontinuous regenerated fibres
65175,Yarn with less than 85% discontinuous regenerated fibres/cotton
65176,"Yarn with less than 85% discontinuous regenerated fibres/wool, etc"
65177,Other discontinuous regenerated blend yarn
65178,"Monofil, strip and imitation catgut, of regenerated fibre materials"
6518,"Yarn of regenerated fibres, put up for retail sale"
65181,-- of continuous fibres
65182,-- of discontin fibres
6519,"Yarn of textile fibres, nes"
65191,"Metallized yarn, being textile yarn spun with metal"
65195,"Yarn, slivers and roving of glass fibre"
65196,Flax or ramie yarn not put up for retail sale
65197,Flax or ramie yarn put up for retail sale
65198,Yarn of jute or of other textile bast fibres of heading 264.0
65199,"Yarn of other vegetable textile fibres, nes; paper yarn"
652,"Cotton fabrics, woven (not including narrow or special fabrics)"
6521,"Cotton fabrics, woven, unbleached, not mercerized"
65211,"Cotton gauze, unbleached, not mercerized"
65212,"Terry fabrics, of cotton, unbleached, not mercerized"
65214,"Other woven fabrics with 85% or more of grey cotton, not mercerized"
65215,"Other woven cotton fabrics, less 85% of grey cotton, not mercerized"
6522,"Cotton fabrics, woven, bleached, dyed, etc, or otherwise finished"
65221,"Cotton gauze, bleached, dyed, printed, etc, or otherwise finished"
65222,"Terry fabrics, of cotton, bleached, etc, or otherwise finished"
65223,"Pile and chenille fabrics, woven, of cotton (no terry fabrics)"
65224,"Other woven fabrics, 85% plus of cotton, bleached, etc, finished"
65225,"Other woven fabrics, less 85% of cotton, bleached, etc, finished"
653,"Fabrics, woven, of man-made fibres (not narrow or special fabrics)"
6531,"Fabrics, woven, of continuous synthetic textile materials"
65314,"Tire cord fabric, of continuous synthetic textile materials"
65315,"Fabrics, woven, 85% plus of continuous synthetic textile materials"
65316,"Fabrics, woven, less 85% of continuous synthetic textile materials"
6532,"Fabrics, woven, 85% plus of discontinuous synthetic fibres"
6534,"Fabrics, woven, less 85% of discontinuous synthetic fibres"
65341, -- mixed mainly or solely with cotton
65342, -- mixed mainly or solely with wool or fine animal hair
65343, -- mixed mainly with continuous man-made textile materials
65349," -- mixed mainly with fibres other than cotton, wool, etc"
6535,"Fabric, woven of continuous regenerated textile materials"
65354,Tire cord fabric of continuous regenerated textile materials
65355,"Fabrics, woven, 85% plus continuous regenerated textile materials"
65356,"Fabrics, woven, less 85% continuous regenerated textile materials"
6536,"Fabrics, woven, 85% plus of discontinuous regenerated fibres"
6538,"Fabrics, woven, less 85% of discontinuous regenerated fibres"
65381,-- mixed mainly or solely with cotton
65382,-- mixed mainly or solely with wool or fine animal hair
65383,-- mixed mainly with continuous man-made textile materials
65389,"-- mixed mainly with fibres other than cotton, wool, etc"
6539,"Pile and chenille fabrics, woven, of man-made fibres"
65397,-- synthetics
65398,-- regenerated
654,"Textile fabrics, woven, other than cotton or man-made fibres"
6541,"Fabrics, woven, of silk, of noil or other waste silk"
6542,"Fabrics, woven, 85% plus of sheep's or lambs' wool or of fine hair"
65421,-- of carded wool or carded fine animal hair
65422,-- of combed wool or combed fine animal hair
6543,"Fabrics, woven, of sheep's or lambs' wool or of fine hair, nes"
65431,"-- less 85% wool or fine hair, mixed continuous synthetic fibres"
65432,"-- less 85% wool or hair, mixed discontinuous synthetic fibres"
65433,"-- less 85% wool or hair, mixed with other synthetic fibres"
65434,"Pile fabrics and chenille fabrics, woven, of wool or fine hair"
6544,"Fabrics, woven, of flax or of ramie"
6545,"Fabrics, woven of jute or other textile bast fibres of heading 2640"
6546,"Fabrics of glass fibre (including narrow, pile fabrics, lace, etc)"
6549,"Fabrics, woven, nes"
65491,"Fabrics, woven, of metallized yarn, used in furnishing fabrics, etc"
65492,"Fabrics, woven, of horsehair or of other coarse animal hair"
65498,"Fabrics, woven, of other vegetable textile fibres; of paper yarn"
65499,"Pile fabrics and chenille fabrics, woven, nes"
655,"Knitted or crocheted fabrics (including tubular, etc, fabrics)"
6551,"Knitted etc, not elastic nor rubberized, of synthetic fibres"
6552,"Knitted, not elastic nor rubberized, of fibres other than synthetic"
65521,-- of wool or fine animal hair
65522,-- of cotton
65523,-- of regenerated fibres
65529,-- of other fibres
6553,"Knitted or crocheted fabrics, elastic or rubberized"
656,"Tulle, lace, embroidery, ribbons, trimmings and other small wares"
6560,"Tulle, lace, embroidery, ribbons, trimmings and other small wares"
65601,"Narrow woven fabrics, and narrow fabrics (bolduc)"
65602,"Woven labels, badges and the like, not embroidered, in strips, etc"
65603,"Chenille and gimped yarn; braid, tassels, pompons and the like"
65604,"Tulle and other net fabrics, plain"
65605,"Tulle and other net fabrics, figured; lace, in strips or in motifs"
65606,"Embroidery, in the piece, in strips or in motifs"
657,Special textile fabrics and related products
6571,"Felt, articles of felt, nes, whether or not impregnated or coated"
6572,"Bonded fibre fabrics, etc, whether or not impregnated or coated"
6573,"Coated or impregnated textile fabrics and products, nes"
65731,Textile fabrics coated with gum or amylaceous substances
65732,Textile fabrics coated with plastic or cellulose derivatives
65733,Rubberized textile fabrics (other than knitted or crocheted goods)
65739,"Impregnated or coated textile fabrics; studio backcloths, etc"
6574,Elastic fabrics and trimming (not knitted or crocheted)
6575,"Twine, cordage, ropes and cables and manufactures thereof"
65751,"Twine, cordage, ropes and cables plaited or not"
65752,"Nets and netting made of twine, cordage or rope, etc"
65759,"Other articles made from yarn, twine, cordage, rope or cable"
6576,"Hat shapes, hat-forms, hat bodies and hoods"
65761,"Hat-forms, hat bodies, etc, of felt; plateaux and manchons"
65762,"Hat-shapes, plaited or made from plaited or strips of any material"
6577,"Wadding, wicks and textiles fabrics for use in machinery or plant"
65771,"Wadding and articles of, nes; textile flock, dust and mill neps"
65772,"Wicks, of woven, plaited or knitted textile materials etc"
65773,Textile fabrics and articles for machinery or plants
6579,Special products of textile materials
65791,"Textile hosepiping, and similar tubing, etc"
65792,"Transmission, conveyor, belts, etc, of textile material"
658,"Made-up articles, wholly or chiefly of textile materials, nes"
6581,"Bags, sacks of textile materials, for the packing of goods"
6582,"Tarpaulins, sails, tents, camping goods, etc, of textile fabrics"
65821,-- of cotton
65829,-- other than of cotton
6583,"Travelling rugs, blankets (non electric), not knitted or crocheted"
65831,-- of wool or fine animal hair
65832,-- of cotton
65833,-- of synthetic fibres
65839,-- of other fibres
6584,"Linens and furnishing articles of textile, not knitted or crocheted"
65841,Bed linen of cotton
65842,Bed linen of other fibres
65843,Table linen of cotton
65844,Table linen of other fibres
65845,Toilet and kitchen linen of cotton
65846,Toilet and kitchen linen of other fibres
65848,Other furnishing articles of cotton
65849,Other furnishing articles of other fibres
6589,"Other made-up articles of textile materials, nes"
65891,"Tapestries, hand-made, and needle-worked made in panels by hand"
65898,"Knitted or crocheted textile articles, nes, not elastics, etc"
65899,"Made-up textile articles not knitted or crocheted, nes"
659,"Floor coverings, etc"
6591,Linoleum and similar floor covering
65911,Floor coverings prepared on a base of paper or paperboard
65912,Linoleum and materials prepared on textile base
6592,"Carpets, carpeting and rugs, knotted"
65921,-- of wool or fine animal hair
65929,-- of other textile materials
6593,"Kelem, Schumacks and Karamanie rugs and the like"
6594,"Carpets, rugs, mats, of wool or fine animal hair"
65941,-- tufted
65942,-- woven
